"","NR","WR","SR","ER","NER"
"Schedule(MU)","56.7","-66.5","47.9","-52.0","9.0"
"Actual(MU)","66.0","-71.4","47.8","-53.6","10.8"
"O/D/U/D(MU)","9.3","-4.9","-0.1","-1.6","1.8"
