"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","116.0","-102.9","44.2","-65.2","10.1","2.2"
"Actual(MU)","113.3","-108.3","44.6","-62.7","11.5","-1.6"
"O/D/U/D(MU)","-2.7","-5.4","0.4","2.5","1.4","-3.8"
