"","NR","WR","SR","ER","NER","All India"
"Coal","522","1124","464","430","10","2549"
"Lignite","19","15","48","0","0","81"
"Hydro","114","26","72","29","6","247"
"Nuclear","16","31","36","0","0","83"
"Gas, Naptha & Diesel","20","36","19","0","27","102"
"RES (Wind, Solar, Biomass & Others)","68","73","197","1","0","339"
"Total","759","1304","834","461","43","3401"
