"","NR","WR","SR","ER","NER","All India"
"Thermal (Coal & Lignite)","547","1168","571","420","6","2712"
"Hydro","145","21","90","41","9","306"
"Nuclear","24","31","40","0","0","96"
"Gas, Naptha & Diesel","24","46","25","0","29","124"
"RES (Wind, Solar, Biomass & Others)","44","35","125","1","0","204"
"Total","783","1300","852","462","44","3442"
