"","NR","WR","SR","ER","NER"
"Schedule(MU)","103.4","-85.9","51.1","-67.6","8.3"
"Actual(MU)","107.2","-106.7","55.5","-66.4","10.8"
"O/D/U/D(MU)","3.8","-20.8","4.4","1.2","2.5"
