"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.00","0.93","4.35","14.68","19.95","64.54","15.51"
"SR GRID","0.00","0.93","4.35","14.68","19.95","64.54","B. Frequency Profile (%)15.51"
