"","NR","WR","SR","ER","NER"
"Schedule(MU)","138.2","-124.0","45.7","-66.1","7.3"
"Actual(MU)","152.2","-135.0","33.4","-67.2","9.7"
"O/D/U/D(MU)","14.0","-11.0","-12.3","-1.0","2.4"
