"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","95.9","-109.8","53.6","-49.0","7.4","-1.9"
"Actual(MU)","100.1","-104.8","51.8","-53.7","10.3","3.6"
"O/D/U/D(MU)","4.2","5.0","-1.8","-4.8","2.9","5.5"
