"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4366","0","86.9","54.6","-0.4","94"
"","Haryana","5531","0","97.3","73.2","-1.7","342"
"","Rajasthan","7272","0","155.4","58.6","0.7","137"
"","Delhi","3402","1","67.7","51.4","0.3","229"
"","UP","10233","2965","222.5","95.4","-2.6","218"
"","Uttarakhand","1492","225","29.5","16.9","2.4","312"
"","HP","1313","0","24.2","13.0","0.5","129"
"","J&K","1874","365","39.0","23.4","2.1","305"
"","Chandigarh","185","0","3.6","3.6","0.3","12"
"WR","Chhattisgarh","3437","96","73.4","25.2","0.5","262"
"","Gujarat","13356","0","300.1","57.0","2.6","949"
"","MP","7084","0","149.0","93.0","-1.2","1287"
"","Maharashtra","19843","49","421.3","111.5","4.4","2023"
"","Goa","434","0","9.3","8.1","0.6","225"
"","DD","287","0","6.5","6.3","0.2","120"
"","DNH","735","0","16.5","16.1","-0.7","258"
"","Essar steel","569","0","11.8","12.6","-0.7","288"
"SR","Andhra Pradesh","6578","0","150.1","26.0","0.1","614"
"","Telangana","6327","0","147.6","86.6","2.7","317"
"","Karnataka","8551","800","193.1","28.8","2.9","485"
"","Kerala","3045","125","64.5","38.1","1.6","223"
"","Tamil Nadu","12024","931","294.4","113.3","-0.2","336"
"","Pondy","341","0","7.2","7.3","-0.1","28"
"ER","Bihar","2610","340","48.5","43.6","1.9","400"
"","DVC","2628","0","56.8","-17.1","-1.4","0"
"","Jharkhand","918","55","19.9","12.5","-0.1","0"
"","Odisha","3995","0","73.2","17.2","0.7","200"
"","West Bengal","6331","12","130.1","36.1","0.7","200"
"","Sikkim","90","0","1.1","1.5","-0.4","0"
"NER","Arunachal Pradesh","97","5","1.2","1.3","-0.1","43"
"","Assam","1084","231","19.8","12.9","2.3","150"
"","Manipur","106","7","1.8","1.8","0.0","33"
"","Meghalaya","235","0","4.6","3.0","-0.3","46"
"","Mizoram","70","3","1.2","0.9","0.3","32"
"","Nagaland","102","4","2.0","1.4","0.6","33"
"","Tripura","181","44","3.2","0.6","0.5","62"
