"","NR","WR","SR","ER","NER"
"Schedule(MU)","106.2","-93.3","54.5","-68.0","0.1"
"Actual(MU)","103.3","-83.5","56.0","-79.2","3.8"
"O/D/U/D(MU)","-2.9","9.8","1.5","-11.2","3.7"
