"","NR","WR","SR","ER","NER","All India"
"Coal","562","1305","552","489","12","2921"
"Lignite","18","14","50","0","0","81"
"Hydro","265","24","70","80","8","447"
"Nuclear","28","31","37","0","0","95"
"Gas, Naptha & Diesel","34","49","16","0","28","127"
"RES (Wind, Solar, Biomass & Others)","74","125","156","2","0","358"
"Total","981","1547","880","571","48","4028"
