"","NR","WR","SR","ER","NER"
"Schedule(MU)","93.7","-68.7","46.9","-80.0","6.1"
"Actual(MU)","93.5","-73.5","46.1","-77.5","7.5"
"O/D/U/D(MU)","-0.2","-4.8","-0.8","2.5","1.4"
