"","NR","WR","SR","ER","NER"
"Schedule(MU)","156.7","-118.7","41.2","-88.7","9.1"
"Actual(MU)","153.4","-136.1","48.3","-78.7","11.7"
"O/D/U/D(MU)","-3.3","-17.4","7.1","10.0","2.6"
