"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","8630","0","191.1","92.1","0.8","291"
"","Haryana","7424","0","146.7","110.1","-3.1","195"
"","Rajasthan","9476","0","204.3","59.3","1.6","232"
"","Delhi","5477","0","108.5","87.5","-1.8","316"
"","UP","14561","230","319.6","139.0","0.6","330"
"","Uttarakhand","1819","0","40.2","21.5","1.3","169"
"","HP","1235","0","26.5","5.8","1.7","179"
"","J&K","1813","453","33.8","17.3","-3.6","50"
"","Chandigarh","346","0","6.5","6.3","0.3","44"
"WR","Chhattisgarh","3220","0","73","17","4","529"
"","Gujarat","14309","0","319","68","-3","490"
"","MP","6902","0","155","110","1","342"
"","Maharashtra","18595","0","424","124","7","751"
"","Goa","427","0","9","7","1","26"
"","DD","323","0","7","7","0","57"
"","DNH","753","0","17","18","0","-8"
"","Essar steel","547","0","12","11","1","167"
"SR","Andhra Pradesh","6750","0","146","12.6","2.0","784"
"","Telangana","5924","0","128","71.9","0.8","272"
"","Karnataka","7138","0","148","53.9","2.3","425"
"","Kerala","3377","0","63","48.3","2.1","186"
"","Tamil Nadu","14241","0","314","126.7","-0.4","668"
"","Pondy","354","0","8","7.5","0.0","23"
"ER","Bihar","3367","0","65","62.7","-1.4","320"
"","DVC","2625","0","60","-28.9","1.7","262"
"","Jharkhand","1005","0","21","15.7","-0.5","220"
"","Odisha","3819","0","81","24.6","2.3","310"
"","West Bengal","7290","14","128","31.0","-1.3","350"
"","Sikkim","94","0","2","1.0","0.6","12"
"NER","Arunachal Pradesh","99","1","2","2.6","-0.6","49"
"","Assam","1420","98","27","19.5","3.2","244"
"","Manipur","125","0","2","2.1","0.1","53"
"","Meghalaya","269","0","5","0.2","1.0","127"
"","Mizoram","65","0","1","1.1","0.0","34"
"","Nagaland","102","3","2","2.0","-0.5","21"
"","Tripura","255","1","4","3.3","0.4","91"
