"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.00","0.56","7.69","31.96","40.20","55.42","4.39"
"SR GRID","0.00","0.56","7.69","31.96","40.20","55.42","4.39"
