"","NR","WR","SR","ER","NER"
"Schedule(MU)","124.3","-121.7","58.3","-60.1","0.5"
"Actual(MU)","136.1","-130.7","60.8","-70.1","1.3"
"O/D/U/D(MU)","11.8","-9.0","2.5","-10.0","0.8"
