"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","0.0","0.6","3.2","0.6","96.4","3.0"
"SR GRID","0.0","0.0","0.3","2.1","0.3","90.3","9.4"
