"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","232.1","-231.1","42.6","-42.9","2.6","3.4"
"Actual(MU)","236.5","-241.9","40.4","-37.5","1.3","-1.1"
"O/D/U/D(MU)","4.4","-10.8","-2.1","5.4","-1.3","-4.5"
