"Share of RES in total generation (%)","5.01","7.02","17.37","0.29","0.09","8.01"
"Share of Non-fossil fuel (Hydro, Nuclear and RES) in total generation (%)","27.37","11.66","29.05","13.08","35.50","20.07"
