"","NR","WR","SR","ER","NER"
"Schedule(MU)","51.8","-40.4","41.5","-63.2","8.9"
"Actual(MU)","43.3","-37.1","41.8","-61.4","9.7"
"O/D/U/D(MU)","-8.5","3.3","0.3","1.8","0.8"
