"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","0.0","4.3","10.8","4.3","94.7","1.0"
"SR GRID","0.0","0.0","0.4","3.7","0.4","88.5","11.1"
