"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","0.0","1.0","2.2","1.0","91.2","7.8"
"SR GRID","0.0","0.0","5.8","7.8","5.8","88.9","5.3"
