"Share of RES in total generation (%)","8.97","5.78","15.42","0.22","0.08","8.15"
"Share of Non-fossil fuel (Hydro, Nuclear and RES) in total generation (%)","33.46","10.05","26.65","5.41","10.00","18.51"
