"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","3860","0","74.8","45.3","-0.4","172"
"","Haryana","5333","0","90.4","61.2","-3.1","374"
"","Rajasthan","6640","0","133.3","52.8","0.8","280"
"","Delhi","3155","0","56.6","38.7","-0.8","171"
"","UP","9375","2420","189.5","73.4","-0.7","414"
"","Uttarakhand","1675","0","32.8","21.1","1.1","141"
"","HP","1235","0","23.5","15.4","0.5","116"
"","J&K","1553","274","31.7","25.3","-3.7","120"
"","Chandigarh","182","0","3.3","3.4","0.3","24"
"WR","Chhattisgarh","3628","0","81.8","26.5","0.8","285"
"","Gujarat","11913","0","260.5","65.4","-2.4","588"
"","MP","5522","0","107.2","46.4","-1.8","141"
"","Maharashtra","17419","51","371.3","94.7","6.8","601"
"","Goa","440","0","8.8","8.5","-0.2","74"
"","DD","286","0","6.4","6.4","0.0","24"
"","DNH","704","0","16.1","16.4","0.3","10"
"","Essar steel","571","0","12.1","11.8","0.3","146"
"SR","Andhra Pradesh","6440","0","146.4","21.2","2.0","347"
"","Telangana","6129","300","143.8","76.4","3.6","385"
"","Karnataka","9044","450","194.0","26.9","2.2","470"
"","Kerala","3256","0","61.6","42.3","1.4","230"
"","Tamil Nadu","12311","179","274.5","106.0","0.8","433"
"","Pondy","323","0","6.4","6.3","0.1","39"
"ER","Bihar","2729","100","47.5","45.1","-3.1","225"
"","DVC","2644","0","55.8","-12.8","-0.9","345"
"","Jharkhand","1094","0","22.2","12.0","-0.1","124"
"","Odisha","3740","0","73.1","24.2","2.7","435"
"","West Bengal","6899","0","142.6","31.6","1.9","465"
"","Sikkim","120","0","1.9","1.4","0.4","30"
"NER","Arunachal Pradesh","91","5","1.5","1.0","0.5","44"
"","Assam","1194","116","21.4","13.4","3.1","186"
"","Manipur","130","6","1.9","2.1","-0.2","54"
"","Meghalaya","299","3","5.1","4.1","-0.3","58"
"","Mizoram","76","3","1.1","0.8","0.3","29"
"","Nagaland","109","4","2.1","1.3","0.7","43"
"","Tripura","195","24","2.5","0.5","-0.1","57"
