"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4825","70","102.2","47.2","0.2","124"
"","Haryana","5041","237","96.1","44.1","-0.7","406"
"","Rajasthan","6439","0","141.3","49.5","-3.6","94"
"","Delhi","3658","0","78.4","56.0","-3.3","29"
"","UP","10008","3185","220.9","86.1","-1.3","433"
"","Uttarakhand","1544","0","32.1","19.7","-0.3","107"
"","HP","1241","0","24.6","14.1","-0.2","93"
"","J&K","1504","100","28.7","20.4","-2.1","185"
"","Chandigarh","212","0","4.1","4.4","-0.2","8"
"WR","Chhattisgarh","3459","64","79.9","18.8","4.4","452"
"","Gujarat","11571","46","267.9","47.6","3.3","356"
"","MP","7136","25","140.4","69.9","-3.2","216"
"","Maharashtra","17582","190","368.6","112.9","0.4","699"
"","Goa","342","1","7.9","7.5","0.0","90"
"","DD","270","1","6.4","5.4","0.9","91"
"","DNH","603","2","14.9","13.4","1.5","119"
"SR","Andhra Pradesh","10453","2600","241.1","73.1","2.9","367"
"","Karnataka","7958","600","170.7","23.8","1.3","188"
"","Kerala","2941","500","61.1","34.2","3.2","295"
"","Tamil Nadu","11126","1588","241.1","70.6","3.8","347"
"","Pondy","305","0","6.5","7.5","-1.0","9"
"ER","Bihar","1464","350","29.6","29.6","0.0","120"
"","DVC","2668","0","55.8","-25.0","-0.5","400"
"","Jharkhand","1034","0","22.8","8.8","3.2","150"
"","Odisha","3474","0","69.6","7.3","1.5","290"
"","West Bengal","6019","0","123.5","30.5","-4.2","200"
"","Sikkim","60","0","1.0","1.0","0.1","3"
"NER","Arunachal Pradesh","92","6","1.2","1.2","0.0","66"
"","Assam","990","106","16.0","10.9","0.6","180"
"","Manipur","95","3","1.2","1.1","0.1","39"
"","Meghalaya","243","7","3.7","3.1","-0.2","56"
"","Mizoram","55","2","1.0","0.8","0.1","22"
"","Nagaland","57","1","0.9","0.8","0.1","29"
"","Tripura","168","20","3.1","0.8","0.4","28"
