"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","7896","85","178.1","115.4","-1.8","104"
"","Haryana","6358","0","143.4","92.8","-3.4","145"
"","Rajasthan","6810","22","151.0","65.6","-2.1","149"
"","Delhi","5139","0","109.6","83.4","-0.7","204"
"","UP","11095","1832","235.8","104.5","-4.7","116"
"","Uttarakhand","1677","0","34.4","15.8","1.2","195"
"","HP","1099","87","23.1","1.1","0.4","152"
"","J&K","1307","100","27.4","12.3","1.7","197"
"","Chandigarh","325","0","6.0","5.9","0.1","47"
"WR","Chhattisgarh","2563","11","56.9","12.9","-1.4","286"
"","Gujarat","10238","91","230.5","62.5","-1.9","321"
"","MP","5638","10","122.3","60.6","-3.4","359"
"","Maharashtra","14421","83","313.6","84.8","2.0","491"
"","Goa","336","1","6.9","7.6","-1.1","48"
"","DD","241","0","5.6","6.0","-0.4","52"
"","DNH","568","1","13.3","14.0","-0.7","53"
"SR","Andhra Pradesh","9764","1500","216.3","74.9","2.6","332"
"","Karnataka","6803","600","136.7","17.8","0.7","368"
"","Kerala","2688","500","50.3","34.0","2.8","416"
"","Tamil Nadu","10854","598","238.3","59.2","-2.2","367"
"","Pondy","317","15","6.5","6.8","-0.3","40"
"ER","Bihar","1967","500","42.1","42.7","-0.6","160"
"","DVC","2455","0","53.2","-22.9","0.0","170"
"","Jharkhand","909","0","17.5","13.9","-0.9","140"
"","Odisha","3623","0","68.2","16.5","0.4","410"
"","West Bengal","6752","0","122.7","32.0","4.5","250"
"","Sikkim","95","0","1.3","0.6","0.7","0"
"NER","Arunachal Pradesh","93","2","1.2","1.2","0.0","57"
"","Assam","1092","148","22.1","13.1","3.3","200"
"","Manipur","109","1","1.4","1.6","-0.2","36"
"","Meghalaya","260","0","4.5","1.0","-0.5","39"
"","Mizoram","64","1","1.0","0.9","0.1","8"
"","Nagaland","85","5","1.6","1.2","0.1","27"
"","Tripura","201","19","2.9","0.8","0.5","86"
