"","NR","WR","SR","ER","NER"
"Schedule(MU)","135.1","-105.9","48.2","-80.9","2.2"
"Actual(MU)","110.6","-95.9","48.6","-67.9","1.7"
"O/D/U/D(MU)","-24.5","10.0","0.4","13.0","-0.5"
