"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW)","38508","42453","35537","17540","2042","136081"
"Peak Shortage (MW)","489","11","0","29","149","678"
"Energy Met (MU)","879","1046","888","340","33","3186"
"Hydro Gen(MU)","120","29","59","31","5","244"
"Wind Gen(MU)","8","35","14","----------","----------","57"
"Solar Gen (MU)*","3.07","12.19","17.20","0.05","0.02","33"
