"","NR","WR","SR","ER","NER","All India"
"Coal","515","1257","558","451","12","2794"
"Lignite","16","16","47","0","0","78"
"Hydro","232","54","86","93","27","492"
"Nuclear","28","31","37","0","0","95"
"Gas, Naptha & Diesel","31","49","16","0","28","123"
"RES (Wind, Solar, Biomass & Others)","100","94","173","1","0","368"
"Total","921","1500","917","545","67","3950"
