"","NR","WR","SR","ER","NER"
"Schedule(MU)","129.3","-122.2","47.3","-63.1","8.4"
"Actual(MU)","115.6","-121.9","50.4","-63.0","10.0"
"O/D/U/D(MU)","-13.7","0.3","3.1","0.1","1.6"
