"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","288.6","-261.6","18.8","-46.2","0.6","0.2"
"Actual(MU)","270.0","-255.0","11.3","-27.8","-1.3","-2.8"
"O/D/U/D(MU)","-18.6","6.6","-7.5","18.4","-1.9","-3.0"
