"","NR","WR","SR","ER","NER","All India"
"Thermal (Coal & Lignite)","504","1109","343","380","5","2341"
"Hydro","321","19","144","97","23","602"
"Nuclear","27","27","24","0","0","79"
"Gas, Naptha & Diesel","11","41","24","0","26","102"
"RES (Wind, Solar, Biomass & Others)","43","106","257","1","0","407"
"Total","906","1303","792","477","53","3532"
