"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4954","0","93.6","44.7","0.1","253"
"","Haryana","6370","0","117.0","69.6","-0.6","190"
"","Rajasthan","10117","0","218.7","69.1","3.0","319"
"","Delhi","3555","0","62.4","48.1","-1.3","265"
"","UP","10552","1980","233.9","92.4","2.4","380"
"","Uttarakhand","1858","0","34.2","25.4","-0.4","64"
"","HP","1428","0","25.5","22.0","0.3","153"
"","J&K","2031","508","44.1","39.2","-0.3","82"
"","Chandigarh","220","0","3.7","3.7","0.3","21"
"WR","Chhattisgarh","3343","96","76.2","28.0","0.4","375"
"","Gujarat","12777","0","277.3","54.6","1.1","478"
"","MP","10081","0","201.9","115.4","-0.3","347"
"","Maharashtra","18505","7","387.9","95.2","-0.1","454"
"","Goa","441","0","9.1","7.7","0.8","68"
"","DD","278","0","6.3","6.2","0.1","25"
"","DNH","685","0","15.9","15.9","0.0","79"
"","Essar steel","335","0","6.8","7.4","-0.6","88"
"SR","Andhra Pradesh","6705","0","135.3","20.7","-5.2","583"
"","Telangana","6142","0","134.4","76.4","1.2","284"
"","Karnataka","9054","500","191.8","44.6","2.9","478"
"","Kerala","3407","0","61.8","46.4","1.1","94"
"","Tamil Nadu","12963","0","273.5","137.7","3.7","475"
"","Pondy","286","0","5.7","6.0","-0.3","37"
"ER","Bihar","3293","0","64.4","62.1","0.1","265"
"","DVC","2619","0","56.8","-12.4","2.1","212"
"","Jharkhand","934","-50","20.8","11.9","-0.7","167"
"","Odisha","3911","0","68.7","20.2","-0.1","285"
"","West Bengal","6460","0","114.3","29.2","-4.0","255"
"","Sikkim","102","0","1.3","1.5","-0.2","20"
"NER","Arunachal Pradesh","111","3","1.9","1.4","0.6","42"
"","Assam","1332","30","22.5","15.1","2.8","212"
"","Manipur","151","3","2.3","2.4","-0.1","28"
"","Meghalaya","340","2","5.4","4.8","-0.3","37"
"","Mizoram","92","2","1.4","1.0","0.3","42"
"","Nagaland","107","3","2.1","1.5","0.5","37"
"","Tripura","215","2","3.2","-1.2","1.0","75"
