"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","220.0","-261.8","107.8","-54.8","-10.8","0.3"
"Actual(MU)","202.0","-270.3","135.1","-58.9","-12.2","-4.2"
"O/D/U/D(MU)","-17.9","-8.4","27.3","-4.1","-1.4","-4.6"
