"","NR","WR","SR","ER","NER","All India"
"Coal","560","1243","533","470","14","2821"
"Lignite","21","15","46","0","0","82"
"Hydro","252","48","79","59","16","454"
"Nuclear","28","31","33","0","0","92"
"Gas, Naptha & Diesel","30","48","14","0","30","122"
"RES (Wind, Solar, Biomass & Others)","71","121","199","2","0","393"
"Total","963","1505","905","532","59","3964"
