"","NR","WR","SR","ER","NER"
"Schedule(MU)","129.5","-95.1","43.9","-80.6","2.3"
"Actual(MU)","113.8","-97.6","43.2","-68.2","4.4"
"O/D/U/D(MU)","-15.7","-2.5","-0.7","12.4","2.1"
