"","NR","WR","SR","ER","NER","All India"
"Thermal (Coal & Lignite)","644","1227","610","447","5","2933"
"Hydro","190","31","50","64","14","351"
"Nuclear","31","18","46","0","0","95"
"Gas, Naptha & Diesel","33","59","20","0","24","136"
"RES (Wind, Solar, Biomass & Others)","53","87","174","1","0","315"
"Total","951","1421","900","512","44","3829"
