"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5349","0","107.7","66.4","0.1","122"
"","Haryana","6270","0","128.6","84.7","-0.6","127"
"","Rajasthan","10025","0","210.7","61.4","2.0","241"
"","Delhi","3211","0","60.1","46.0","0.0","214"
"","UP","12043","805","250.7","110.6","2.2","372"
"","Uttarakhand","1762","0","34.4","24.0","2.3","153"
"","HP","1423","8","25.6","20.9","0.5","113"
"","J&K","2059","515","42.1","34.9","0.0","297"
"","Chandigarh","187","0","3.4","3.4","0.3","20"
"WR","Chhattisgarh","3496","96","82.4","32.1","-1.1","264"
"","Gujarat","13322","0","300.0","75.1","5.5","597"
"","MP","9021","8","189.8","112.9","-1.6","430"
"","Maharashtra","19121","4","396.9","114.3","1.3","575"
"","Goa","468","0","9.3","8.3","0.3","42"
"","DD","301","0","6.2","6.5","-0.3","44"
"","DNH","703","0","16.4","16.3","0.1","106"
"","Essar steel","469","0","9.9","8.8","1.2","215"
"SR","Andhra Pradesh","6876","0","151.9","21.2","2.2","526"
"","Telangana","6066","0","138.9","84.1","0.2","314"
"","Karnataka","9113","0","203.9","60.2","2.5","429"
"","Kerala","3605","0","70.4","49.3","2.5","210"
"","Tamil Nadu","14169","0","303.9","143.0","0.5","769"
"","Pondy","299","0","6.6","6.8","-0.2","58"
"ER","Bihar","3362","200","63.7","63.1","-0.7","325"
"","DVC","2617","0","59.3","-23.2","-0.4","210"
"","Jharkhand","900","0","22.8","11.6","1.6","165"
"","Odisha","4165","0","73.6","22.8","1.8","325"
"","West Bengal","6963","0","129.5","31.1","1.3","360"
"","Sikkim","107","0","1.6","1.4","0.2","25"
"NER","Arunachal Pradesh","105","1","2.0","1.5","0.4","34"
"","Assam","1282","56","21.9","15.0","2.4","280"
"","Manipur","155","0","2.5","2.3","0.1","29"
"","Meghalaya","314","0","5.2","4.2","-0.2","67"
"","Mizoram","80","0","1.4","1.0","0.3","34"
"","Nagaland","95","1","1.9","1.5","0.3","36"
"","Tripura","225","0","3.1","1.3","-0.3","54"
