"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0.0","0.0","0.6","1.7","0.6","84.3","15.1"
"SR GRID","0.0","0.0","0.6","3.3","0.6","77.6","21.7"
