"","NR","WR","SR","ER","NER","All India"
"Thermal (Coal & Lignite)","519","1155","585","386","7","2653"
"Hydro","333","75","148","123","27","705"
"Nuclear","22","0","19","0","0","42"
"Gas, Naptha & Diesel","24","17","21","0","19","81"
"RES (Wind, Solar, Biomass & Others)","46","50","123","1","0","220"
"Total","945","1297","896","509","53","3700"
