"Share of RES in total generation (%)","4.86","3.86","13.77","0.12","0.03","5.95"
"Share of Non-fossil fuel (Hydro, Nuclear and RES) in total generation (%)","42.45","9.62","32.38","24.19","50.98","26.12"
