"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","159.5","-192.6","80.7","-55.0","5.7","-1.7"
"Actual(MU)","141.9","-183.5","81.6","-49.9","6.7","-3.3"
"O/D/U/D(MU)","-17.6","9.1","0.9","5.1","1.0","-1.6"
