"","NR","WR","SR","ER","NER"
"Schedule(MU)","100.0","-110.8","47.2","-45.4","8.0"
"Actual(MU)","94.0","-111.7","49.4","-40.3","9.7"
"O/D/U/D(MU)","-6.0","-0.9","2.2","5.0","1.7"
