"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW)","34773","41880","31603","17097","1547","126900"
"Peak Shortage (MW)","3073","169","1445","300","537","5524"
"Energy Met (MU)","765","966","735","344","30","2840"
"Hydro Gen(MU)","173","54","73","43","4","347"
"Wind Gen(MU)","11","35","9","----------","----------","56"
