"","NR","WR","SR","ER","NER"
"Schedule(MU)","95.7","-80.3","33.5","-54.1","5.3"
"Actual(MU)","91.6","-82.7","33.7","-48.8","4.4"
"O/D/U/D(MU)","-4.1","-2.5","0.2","5.2","-0.9"
