"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.00","6.74","21.16","33.22","61.11","35.74","3.15"
"SR GRID","0.00","6.74","21.16","33.22","61.11","35.74","B. Frequency Profile (%)3.15"
