"Share of RES in total generation (%)","11.03","6.75","22.13","0.29","0.07","10.59"
"Share of Non-fossil fuel (Hydro, Nuclear and RES) in total generation (%)","31.59","12.11","36.41","5.80","13.71","21.36"
