"Region","<49.2","49.2-49.5","49.5-49.7","49.7-49.8","<49.7","49.7-50.2","> 50.2"
"NEW GRID","0","0.7","8.6","3.0","9.3","89.5","1.2"
"SR GRID","0","0.6","12.8","38.2","13.5","85.1","1.5"
