"","NR","WR","SR","ER","NER"
"Schedule(MU)","81.1","-84.2","45.3","-47.5","5.3"
"Actual(MU)","72.9","-70.3","44.9","-41.8","7.5"
"O/D/U/D(MU)","-8.2","13.9","-0.4","5.7","2.2"
