"","NR","WR","SR","ER","NER"
"Schedule(MU)","122.6","-76.2","35.0","-85.7","5.1"
"Actual(MU)","111.0","-60.9","33.7","-87.6","2.9"
"O/D/U/D(MU)","-11.6","15.3","-1.3","-1.9","-2.2"
