"","NR","WR","SR","ER","NER","Total"
"Demand Met during Evening Peak hrs(MW)","42191","46474","38098","19363","2217","148343"
"Peak Shortage (MW)","702","58","0","400","72","1232"
"Energy Met (MU)","834","1144","965","398","35","3375"
"Hydro Gen(MU)","159","33","67","52","11","322"
"Wind Gen(MU)","28","77","31","----------","----------","136"
"Solar Gen (MU)*","3.48","12.74","23.80","1.22","0.02","41"
