"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5040","0","83.8","48.7","-1.3","436"
"","Haryana","6196","21","103.3","82.7","-0.4","343"
"","Rajasthan","8267","0","173.0","53.6","0.5","364"
"","Delhi","4132","0","82.9","70.8","-2.0","128"
"","UP","15420","0","303.1","109.4","2.5","510"
"","Uttarakhand","1513","0","28.2","14.1","-3.6","43"
"","HP","1034","0","24.6","9.7","-1.3","60"
"","J&K","1726","431","31.1","20.6","-4.3","396"
"","Chandigarh","194","0","3.6","4.2","-0.6","4"
"WR","Chhattisgarh","3901","0","92.3","39.8","-1.0","283"
"","Gujarat","14333","0","328.1","73.9","1.4","397"
"","MP","8209","0","179.8","102.0","-2.3","269"
"","Maharashtra","22486","0","498.0","149.5","0.8","420"
"","Goa","558","0","11.5","9.5","1.3","146"
"","DD","314","0","7.2","6.6","0.6","61"
"","DNH","730","0","16.6","15.8","0.9","106"
"","Essar steel","493","0","10.1","8.3","1.8","238"
"SR","Andhra Pradesh","7348","0","166.0","31.2","2.6","420"
"","Telangana","8860","0","181.3","95.0","0.0","503"
"","Karnataka","9851","0","214.4","71.6","2.1","580"
"","Kerala","3527","0","71.0","52.6","1.6","244"
"","Tamil Nadu","14878","0","324.7","150.6","1.4","594"
"","Pondy","355","0","7.5","7.8","-0.2","18"
"ER","Bihar","3798","200","68.9","62.9","1.3","415"
"","DVC","2985","0","66.9","-28.2","-0.2","356"
"","Jharkhand","1007","0","23.5","18.5","2.0","145"
"","Odisha","4002","0","83.2","20.6","2.3","345"
"","West Bengal","8322","0","153.9","46.0","4.5","485"
"","Sikkim","77","0","1.3","1.0","0.3","20"
"NER","Arunachal Pradesh","95","3","2.0","1.9","0.1","5"
"","Assam","1375","29","21.3","14.8","3.2","195"
"","Manipur","137","1","2.3","1.4","0.8","12"
"","Meghalaya","278","0","4.5","1.0","-0.4","7"
"","Mizoram","74","1","1.3","0.7","0.6","25"
"","Nagaland","92","2","1.6","1.3","0.2","3"
"","Tripura","197","4","2.4","-0.2","1.2","9"
