"","NR","WR","SR","ER","NER","All India"
"Coal","547","1271","544","468","12","2842"
"Lignite","19","14","47","0","0","80"
"Hydro","262","35","66","76","4","443"
"Nuclear","28","30","36","0","0","94"
"Gas, Naptha & Diesel","28","42","16","0","27","113"
"RES (Wind, Solar, Biomass & Others)","70","100","138","1","0","309"
"Total","954","1492","846","545","43","3881"
