"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4630","0","96.9","52.0","-0.5","147"
"","Haryana","4861","0","89.7","54.6","-1.3","241"
"","Rajasthan","6409","0","147.8","48.4","-5.4","54"
"","Delhi","2993","0","60.1","37.2","-1.8","47"
"","UP","9228","1770","201.8","75.2","-0.8","330"
"","Uttarakhand","1409","0","26.9","16.3","0.1","187"
"","HP","1115","0","22.1","12.7","-0.3","61"
"","J&K","1421","100","28.5","16.5","0.4","227"
"","Chandigarh","173","0","3.3","3.6","-0.3","0"
"WR","Chhattisgarh","3331","104","73.1","15.0","9.7","567"
"","Gujarat","11029","47","252.2","48.6","0.8","502"
"","MP","7002","7","136.0","69.1","-3.6","211"
"","Maharashtra","15725","496","353.3","122.1","-1.6","503"
"","Goa","360","75","7.9","7.6","0.0","75"
"","DD","250","0","6.0","5.2","0.7","82"
"","DNH","591","1","13.9","13.4","0.6","21"
"SR","Andhra Pradesh","11033","2500","246.5","71.2","2.8","392"
"","Karnataka","7498","600","161.2","22.8","0.6","221"
"","Kerala","2851","500","56.3","33.3","1.8","213"
"","Tamil Nadu","10129","1285","227.2","70.6","3.4","516"
"","Pondy","283","0","6.2","7.3","-1.1","0"
"ER","Bihar","1581","600","30.0","30.4","-0.4","30"
"","DVC","2536","0","66.8","-26.6","-0.4","100"
"","Jharkhand","920","0","17.6","8.1","0.4","50"
"","Odisha","3510","100","67.0","8.9","1.4","480"
"","West Bengal","6364","90","126.1","28.9","-1.7","400"
"","Sikkim","68","0","0.8","1.2","0.0","3"
"NER","Arunachal Pradesh","81","9","0.9","0.8","0.0","33"
"","Assam","1002","130","16.1","9.9","2.0","136"
"","Manipur","74","4","1.0","1.0","0.0","38"
"","Meghalaya","247","0","4.5","2.7","0.4","58"
"","Mizoram","55","5","0.9","0.7","0.2","19"
"","Nagaland","66","2","0.9","0.7","0.2","49"
"","Tripura","189","28","3.0","0.5","0.5","55"
