"Region","<49.2","<49.7","49.7-49.8","49.8-49.9","<49.9","49.9-50.05","> 50.05"
"NEW GRID","0.0","1.1","9.6","34.6","45.3","47.3","7.4"
"SR GRID","0.0","1.1","9.6","34.6","45.3","47.3","7.4"
