"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","216.0","-213.6","88.0","-89.2","-3.5","-2.4"
"Actual(MU)","208.4","-203.5","89.2","-93.5","1.8","2.4"
"O/D/U/D(MU)","-7.6","10.1","1.2","-4.2","5.3","4.8"
