"","NR","WR","SR","ER","NER"
"Schedule(MU)","89.4","-62.7","50.5","-84.5","5.9"
"Actual(MU)","90.2","-73.0","50.1","-79.1","8.6"
"O/D/U/D(MU)","0.8","-10.3","-0.4","5.4","2.7"
