"","NR","WR","SR","ER","NER"
"Schedule(MU)","119.8","-94.3","32.4","-71.3","11.8"
"Actual(MU)","131.8","-100.7","33.8","-75.5","11.0"
"O/D/U/D(MU)","12.0","-6.4","1.4","-4.2","-0.8"
