"","NR","WR","SR","ER","NER"
"Schedule(MU)","124.2","-96.1","22.8","-57.2","5.3"
"Actual(MU)","119.1","-101.8","24.8","-51.5","6.2"
"O/D/U/D(MU)","-5.1","-5.7","2.0","5.7","0.9"
