"","NR","WR","SR","ER","NER"
"Schedule(MU)","65.3","-52.3","32.4","-49.1","4.8"
"Actual(MU)","33.9","-30.0","32.3","-41.4","4.6"
"O/D/U/D(MU)","-31.4","22.3","-0.1","7.7","-0.2"
