"","NR","WR","SR","ER","NER"
"Schedule(MU)","119.1","-95.3","38.2","-73.6","7.9"
"Actual(MU)","119.7","-104.1","36.0","-65.4","9.8"
"O/D/U/D(MU)","0.6","-8.8","-2.2","8.3","1.9"
