"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","10010","0","221.8","126.8","0.1","294"
"","Haryana","8376","45","163.7","152.9","-1.1","250"
"","Rajasthan","8143","0","172.7","66.1","1.1","244"
"","Delhi","5253","0","103.8","83.5","0.4","274"
"","UP","13027","0","279.3","142.6","-1.0","313"
"","Uttarakhand","1693","75","36.7","13.9","1.2","181"
"","HP","1205","0","24.6","-1.3","2.0","222"
"","J&K","1796","449","36.2","16.6","-2.4","121"
"","Chandigarh","302","0","5.9","6.2","-0.3","22"
"WR","Chhattisgarh","3316","0","76.0","32.0","3.6","385"
"","Gujarat","11978","0","270.0","58.8","-1.0","320"
"","MP","6253","9","122.1","46.1","-2.2","333"
"","Maharashtra","16369","0","352.1","103.4","4.1","480"
"","Goa","434","0","8.4","7.3","0.5","20"
"","DD","307","0","6.0","5.6","0.3","28"
"","DNH","715","0","15.3","15.8","-0.4","13"
"","Essar steel","513","0","11.3","10.8","0.4","156"
"SR","Andhra Pradesh","7311","0","158.3","7.3","0.7","482"
"","Telangana","7403","0","168.8","105.8","0.5","419"
"","Karnataka","8192","0","170.6","61.9","2.8","530"
"","Kerala","3315","0","62.5","46.1","1.0","224"
"","Tamil Nadu","13762","0","297.8","99.0","1.9","823"
"","Pondy","296","0","5.8","6.4","-0.6","19"
"ER","Bihar","3444","0","70.4","68.0","0.3","412"
"","DVC","2616","0","60.6","-17.4","0.9","305"
"","Jharkhand","1074","0","20.9","16.4","-0.5","85"
"","Odisha","3767","0","73.8","19.1","1.1","435"
"","West Bengal","7743","0","148.6","41.3","2.4","465"
"","Sikkim","74","0","1.7","1.6","0.1","20"
"NER","Arunachal Pradesh","104","2","1.8","1.9","-0.1","5"
"","Assam","1580","49","28.6","21.1","1.7","188"
"","Manipur","132","3","1.9","2.1","-0.3","56"
"","Meghalaya","264","0","4.1","-0.2","0.1","72"
"","Mizoram","64","4","1.2","1.0","0.1","78"
"","Nagaland","100","2","1.6","1.7","-0.2","60"
"","Tripura","214","6","3.7","3.5","0.3","76"
