"","NR","WR","SR","ER","NER"
"Schedule(MU)","112.0","-100.1","50.5","-52.8","-9.5"
"Actual(MU)","126.2","-120.6","53.4","-42.4","-11.9"
"O/D/U/D(MU)","14.2","-20.5","2.9","10.4","-2.4"
