"","NR","WR","SR","ER","NER","TOTAL"
"Schedule(MU)","206.4","-189.9","71.0","-87.4","0.1","0.2"
"Actual(MU)","200.4","-199.9","88.8","-94.9","0.4","-5.2"
"O/D/U/D(MU)","-6.0","-10.0","17.8","-7.5","0.3","-5.3"
